time_step  time  K  U  H  kT  p  msd 
2610 5.220000 315.255802 -1091.609530 -776.353727 0.824198 1.939219 1.433501
2620 5.240000 325.270711 -1101.689487 -776.418776 0.850381 1.812661 1.436789
2630 5.260000 327.445946 -1104.159885 -776.713939 0.856068 1.760538 1.440179
2640 5.280000 327.979593 -1104.986031 -777.006438 0.857463 1.721812 1.444505
2650 5.300000 331.620896 -1109.024996 -777.404100 0.866983 1.633349 1.450461
2660 5.320000 333.438878 -1111.311453 -777.872575 0.871736 1.555166 1.458137
2670 5.340000 338.536937 -1117.008871 -778.471934 0.885064 1.429195 1.467345
2680 5.360000 340.167447 -1119.393655 -779.226209 0.889327 1.352263 1.477913
2690 5.380000 334.506432 -1114.398395 -779.891963 0.874527 1.391143 1.489347
2700 5.400000 327.542021 -1107.889074 -780.347053 0.856319 1.478660 1.501041
2710 5.420000 318.915686 -1099.427855 -780.512169 0.833767 1.605351 1.512869
2720 5.440000 321.435251 -1101.969189 -780.533938 0.840354 1.590815 1.524998
2730 5.460000 331.481717 -1112.309823 -780.828106 0.866619 1.478735 1.537525
2740 5.480000 326.007787 -1107.256066 -781.248279 0.852308 1.577348 1.550032
2750 5.500000 305.859134 -1087.077719 -781.218585 0.799632 1.881285 1.561675
2760 5.520000 291.237214 -1071.854829 -780.617615 0.761404 2.112703 1.571860
2770 5.540000 291.904977 -1071.723999 -779.819021 0.763150 2.123154 1.580670
2780 5.560000 297.899438 -1077.035601 -779.136163 0.778822 2.031936 1.588450
2790 5.580000 302.895558 -1081.468303 -778.572745 0.791884 1.928927 1.595421
2800 5.600000 315.631968 -1093.907331 -778.275363 0.825182 1.719880 1.601760
2810 5.620000 325.791673 -1104.172675 -778.381002 0.851743 1.547713 1.607800
2820 5.640000 322.155902 -1100.765766 -778.609864 0.842238 1.569995 1.613769
2830 5.660000 313.158195 -1091.762485 -778.604289 0.818714 1.684151 1.619327
2840 5.680000 307.449821 -1085.799088 -778.349267 0.803790 1.757146 1.623991
2850 5.700000 314.006352 -1092.082705 -778.076353 0.820932 1.654047 1.627608
2860 5.720000 330.416279 -1108.596633 -778.180354 0.863833 1.405119 1.630904
2870 5.740000 344.283410 -1123.129293 -778.845883 0.900087 1.189337 1.634576
2880 5.760000 346.638388 -1126.476039 -779.837651 0.906244 1.143185 1.638706
2890 5.780000 335.831581 -1116.501198 -780.669616 0.877991 1.292528 1.643267
2900 5.800000 328.598305 -1109.705058 -781.106754 0.859081 1.412966 1.648189
2910 5.820000 331.352792 -1112.861946 -781.509153 0.866282 1.404197 1.653359
2920 5.840000 330.131936 -1112.072500 -781.940564 0.863090 1.432528 1.658517
2930 5.860000 329.740087 -1112.059553 -782.319466 0.862066 1.437630 1.663453
2940 5.880000 331.990316 -1114.741587 -782.751271 0.867949 1.397002 1.668189
2950 5.900000 333.108838 -1116.334557 -783.225719 0.870873 1.366433 1.672803
2960 5.920000 334.452431 -1118.226791 -783.774360 0.874385 1.339120 1.677563
2970 5.940000 329.493009 -1113.741003 -784.247994 0.861420 1.396732 1.682821
2980 5.960000 329.204672 -1113.796555 -784.591883 0.860666 1.395516 1.688869
2990 5.980000 335.066196 -1120.130400 -785.064204 0.875990 1.311408 1.695802
3000 6.000000 334.519310 -1120.176915 -785.657604 0.874560 1.309190 1.703601
3010 6.020000 328.015166 -1114.115013 -786.099847 0.857556 1.387770 1.712103
3020 6.040000 326.170505 -1112.561463 -786.390958 0.852733 1.408584 1.720948
3030 6.060000 324.267319 -1110.907566 -786.640248 0.847758 1.427337 1.730066
3040 6.080000 319.570393 -1106.348695 -786.778302 0.835478 1.480663 1.739652
3050 6.100000 314.891901 -1101.639092 -786.747191 0.823247 1.531334 1.749933
3060 6.120000 317.638063 -1104.296900 -786.658837 0.830426 1.490697 1.761006
3070 6.140000 323.658042 -1110.431960 -786.773917 0.846165 1.427560 1.772445
3080 6.160000 311.912870 -1098.742354 -786.829485 0.815458 1.614589 1.783413
3090 6.180000 295.886308 -1082.261989 -786.375681 0.773559 1.864035 1.792999
3100 6.200000 299.949619 -1085.672940 -785.723321 0.784182 1.840547 1.801120
3110 6.220000 313.833897 -1099.226157 -785.392260 0.820481 1.676438 1.808463
